Corr	Sim	NN
15.97	17.25	17.29
61.62	40.41	41.05
13.80	9.54	9.95
22.82	14.72	15.28
10.11	7.76	7.92
22.46	19.27	19.53
13.97	10.63	10.44
23.02	17.62	19.40
15.47	10.39	10.97
10.67	8.34	8.41
44.21	34.42	35.14
15.27	12.79	12.69
14.06	11.06	11.10
22.11	16.59	16.86
10.85	7.42	7.58
20.39	19.50	18.56
41.04	30.09	28.55
4.49	3.83	3.86
18.83	14.82	14.91
35.99	36.90	37.59
4.39	3.20	3.64
60.84	39.61	40.32
17.65	25.51	25.11
6.56	4.71	5.24
88.26	53.68	59.99
5.73	3.98	4.18
23.56	17.19	16.15
4.38	3.35	3.57
15.01	9.94	10.66
26.34	24.10	23.96
30.31	19.73	21.17
11.09	7.88	8.27
14.14	11.85	11.30
10.72	9.03	9.11
50.59	52.64	52.24
4.78	4.30	4.28
33.80	28.40	30.51
9.31	9.00	9.14
8.52	5.66	5.81
11.31	8.26	8.36
14.55	15.35	15.30
14.19	20.39	20.10
16.95	17.92	18.42
8.69	7.99	7.95
8.13	6.64	6.81
4.39	3.18	3.56
15.73	15.98	15.52
18.25	18.98	18.81
8.41	5.68	5.94
16.27	14.16	14.59
8.27	5.40	5.51
41.58	29.40	29.93
33.27	26.27	26.22
12.94	9.98	9.63
91.52	67.12	66.56
61.02	43.16	43.81
23.07	18.67	18.84
19.37	16.03	15.57
120.93	78.90	75.89
11.85	11.10	10.77
21.75	16.95	16.91
39.43	38.73	37.06
21.85	15.90	16.46
5.45	4.43	4.23
12.50	12.02	12.37
15.72	10.88	11.65
13.03	9.87	9.97
17.78	14.74	15.10
95.16	74.79	72.74
65.97	50.82	54.33
12.86	14.11	14.02
23.40	38.99	38.83
8.95	6.38	6.36
44.96	28.08	30.60
3.44	2.57	2.57
46.58	44.24	44.60
13.27	14.22	14.39
6.41	5.98	6.02
41.45	27.61	28.23
10.03	7.57	7.60
5.83	4.54	4.97
12.61	13.02	12.46
22.94	19.18	20.80
25.96	21.09	20.27
7.95	8.03	7.87
20.75	22.23	22.66
11.39	11.66	11.49
22.99	15.43	16.06
14.12	16.94	16.53
18.55	12.90	13.35
26.81	25.93	24.81
8.55	5.98	6.28
12.03	7.72	7.85
9.90	8.72	8.77
6.36	5.10	5.43
15.89	15.59	16.65
23.21	19.19	19.27
11.18	11.39	11.66
18.01	17.66	18.66
44.72	41.22	41.21
11.15	8.88	8.87
17.27	16.52	15.92
26.74	27.34	27.32
13.48	8.71	9.35
6.37	5.93	5.99
32.13	19.92	21.82
4.73	3.89	3.98
101.08	92.49	92.07
19.88	14.30	15.82
14.68	18.58	18.07
24.56	29.46	29.32
3.49	2.61	2.84
13.72	9.09	9.35
7.05	7.00	6.99
57.01	77.54	76.19
8.58	5.86	6.07
46.81	37.39	37.08
95.16	79.09	73.47
4.78	4.35	4.12
31.80	48.76	49.87
4.13	3.48	3.73
12.22	8.21	8.39
62.37	42.55	43.57
3.87	2.78	2.94
8.61	5.95	6.20
4.05	3.40	3.75
11.33	8.46	8.70
13.27	12.75	12.14
27.40	26.12	26.82
31.03	22.31	22.30
131.05	101.24	109.75
23.21	19.44	19.47
4.61	3.30	3.24
23.35	14.83	14.72
12.03	8.08	7.98
19.63	16.07	16.61
4.38	3.10	3.28
5.42	4.00	4.49
11.05	8.42	8.37
39.09	25.63	25.05
11.96	8.74	8.91
11.69	7.49	8.20
8.58	7.33	7.38
6.87	4.92	4.86
17.65	24.42	24.77
6.07	4.16	3.99
46.96	44.67	43.96
6.12	4.08	4.16
6.77	5.29	5.46
4.39	3.13	3.38
10.29	9.04	9.21
7.81	6.53	6.67
5.18	3.89	3.96
6.94	4.98	5.17
9.37	9.73	9.82
16.70	12.10	12.25
11.45	13.14	13.11
21.16	15.83	15.80
22.46	19.15	19.38
12.95	12.03	12.08
20.57	29.44	29.72
41.45	29.64	28.88
4.37	3.03	3.18
3.86	2.72	2.81
76.18	106.72	108.16
7.87	7.07	7.20
20.26	28.11	28.56
47.21	45.20	46.54
36.03	31.15	32.55
5.99	4.62	4.49
5.54	4.67	5.06
24.11	21.84	22.03
5.16	4.57	4.51
12.27	8.46	8.72
27.36	23.16	23.71
15.62	20.55	20.69
5.40	4.26	4.07
10.83	7.06	7.48
10.31	9.70	10.09
11.44	7.13	7.23
14.47	10.98	10.81
9.61	8.18	8.15
16.90	19.10	19.32
24.69	22.30	23.36
24.85	24.06	24.90
34.37	29.04	29.73
26.34	25.02	24.79
6.40	4.73	4.74
32.53	25.90	24.58
13.91	10.62	10.61
30.56	29.12	28.61
63.40	49.16	49.64
21.03	15.75	15.44
42.67	33.82	34.00
4.11	3.27	3.43
14.96	14.36	13.67
20.04	16.73	16.34
8.35	5.56	5.69
20.26	29.28	28.83
7.74	7.33	7.62
21.07	15.49	15.29
16.27	13.60	14.34
23.04	30.11	31.04
6.98	5.19	5.34
17.09	19.36	19.67
32.31	24.83	24.94
7.89	7.89	8.06
